epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,4494.4,0.35748,0.81856,0.485,1.0151,0.72171,0.7347,0.7815,0.70012,0.75948,0.68341,0.76496,0.67735,0.57206,1.25018,0.92133,1.40639,0.000116833,0.000116833,0.000116833
117,4533.15,0.35347,0.82365,0.50362,1.00789,0.75566,0.74861,0.78986,0.71014,0.74605,0.73952,0.77417,0.68011,0.55515,1.28856,0.87287,1.3841,0.00011457,0.00011457,0.00011457
118,4614.15,0.34805,0.90171,0.49785,0.99544,0.73426,0.73609,0.78375,0.70015,0.73278,0.73499,0.76788,0.67747,0.56644,1.34912,0.94854,1.37065,0.000112315,0.000112315,0.000112315
119,4645.19,0.35845,0.79483,0.49002,1.00445,0.76186,0.732,0.79424,0.70896,0.74668,0.71484,0.76918,0.67732,0.57868,1.35212,0.90721,1.30839,0.00011007,0.00011007,0.00011007
120,4676.25,0.36355,0.87396,0.52723,1.02198,0.82701,0.69444,0.79312,0.71789,0.81153,0.68252,0.77351,0.68317,0.51485,1.34603,0.83624,1.17536,0.000107835,0.000107835,0.000107835
121,4745.15,0.38346,0.95328,0.52582,1.02639,0.8218,0.68683,0.79476,0.7222,0.80675,0.6742,0.77638,0.68855,0.53299,1.29768,0.85412,1.27851,0.000105611,0.000105611,0.000105611
122,4812.9,0.35205,0.81314,0.48004,0.99414,0.77418,0.70671,0.78038,0.69795,0.77215,0.6983,0.7654,0.67101,0.57735,1.31652,1.00131,1.38523,0.000103398,0.000103398,0.000103398
123,4869.74,0.33298,0.77748,0.48854,0.97644,0.7675,0.70578,0.76768,0.68481,0.76451,0.70275,0.7586,0.66114,0.58364,1.33385,1.07573,1.44875,0.000101197,0.000101197,0.000101197
124,4901.34,0.32273,0.90795,0.50201,0.97389,0.75059,0.69426,0.74145,0.65867,0.75082,0.68303,0.73353,0.64075,0.58696,1.41093,0.99209,1.45843,9.9009e-05,9.9009e-05,9.9009e-05
125,4932.43,0.37363,0.93885,0.50636,1.01452,0.7479,0.63777,0.73266,0.65233,0.74741,0.62671,0.72244,0.62994,0.59086,1.45156,0.99471,1.46337,9.68335e-05,9.68335e-05,9.68335e-05
